"Short name","Hour","HUAW_eRAN_R8_DL Traffic Volume MBytes","HUAW_eRAN_R8_UL Traffic Volume MBytes","L.Traffic.ActiveUser.DL.Max","L.Traffic.ActiveUser.DL.Avg"
1002_L_1_09F02,2016071110,20.701743,2.841724,3,0.025000
1002_L_1_09F02,2016071111,12.191547,2.274537,3,0.015000
1002_L_1_09F02,2016071112,23.811586,3.235136,3,0.022000
1002_L_1_09F02,2016071113,12.255323,2.083909,3,0.018000
1002_L_1_09F02,2016071114,15.584376,2.444454,3,0.034000
1002_L_1_09F02,2016071115,26.001667,3.559961,3,0.029000
1002_L_1_09F02,2016071116,42.820566,4.465474,7,0.078000
1002_L_1_09F02,2016071117,28.760055,5.094092,5,0.053000
1002_L_1_09F02,2016071118,61.248709,6.085539,6,0.068000
1002_L_1_09F02,2016071119,15.486156,4.152308,3,0.028000
1002_L_1_09F02,2016071120,16.057842,4.426167,3,0.027000
1002_L_1_09F02,2016071121,28.414814,3.239326,3,0.046000
1002_L_1_09F02,2016071122,46.820701,4.019010,3,0.025000
1002_L_1_09F02,2016071123,27.303410,7.272630,2,0.016000
1002_L_1_09F02,2016071200,1.011155,0.150465,2,0.001000
1002_L_1_09F02,2016071201,0.906940,0.199077,1,0.001000
1002_L_1_09F02,2016071202,0.111856,0.089793,1,0
1002_L_1_09F02,2016071203,0.152588,0.066524,1,0
1002_L_1_09F02,2016071204,1.193085,0.435674,1,0.001000
1002_L_1_09F02,2016071205,21.625137,1.170736,2,0.035000
1002_L_1_09F02,2016071206,17.292749,1.804113,3,0.015000
1002_L_1_09F02,2016071207,35.275845,3.367163,4,0.038000
1002_L_1_09F02,2016071208,26.443321,4.145078,4,0.039000
1002_L_1_09F02,2016071209,22.855812,3.486466,3,0.025000
1002_L_1_09F02,2016071210,28.605342,7.545859,3,0.033000
1002_L_1_09F02,2016071211,27.168676,4.819899,5,0.039000
1002_L_1_09F02,2016071212,27.448374,3.335412,3,0.025000
1002_L_1_09F02,2016071213,13.208621,1.716247,3,0.031000
1002_L_1_09F02,2016071214,28.840764,4.408025,4,0.029000
1002_L_1_09F02,2016071215,19.273790,3.075216,4,0.028000
1002_L_1_09F02,2016071216,13.873749,3.246995,3,0.037000
1002_L_1_09F02,2016071217,86.314495,7.804799,6,0.074000
1002_L_1_09F02,2016071218,32.073119,4.447933,4,0.048000
1002_L_1_09F02,2016071219,44.469915,5.730230,3,0.030000
1002_L_1_09F02,2016071220,40.137421,5.373757,5,0.035000
1002_L_1_09F02,2016071221,25.193588,5.493780,3,0.026000
1002_L_1_09F02,2016071222,29.938219,3.149010,3,0.025000
1002_L_1_09F02,2016071223,25.343173,2.248403,2,0.010000
1002_L_1_09F03,2016071100,130.485797,10.902198,4,0.062000
1002_L_1_09F03,2016071101,12.692102,3.374025,3,0.020000
1002_L_1_09F03,2016071102,7.167257,2.132716,2,0.012000
1002_L_1_09F03,2016071103,6.627252,2.696366,2,0.005000
1002_L_1_09F03,2016071104,66.449522,1.492759,2,0.020000
1002_L_1_09F03,2016071105,89.167218,5.562872,3,0.029000
1002_L_1_09F03,2016071106,70.208755,13.625455,4,0.043000
1002_L_1_09F03,2016071107,251.964047,26.061202,4,0.084000
1002_L_1_09F03,2016071108,333.625427,24.767273,5,0.113000
1002_L_1_09F03,2016071109,161.636920,24.841183,4,0.070000
1002_L_1_09F03,2016071110,229.599843,26.783695,4,0.095000
